Query,Last 3 months Clicks,Previous 3 months Clicks,Last 3 months Impressions,Previous 3 months Impressions,Last 3 months CTR,Previous 3 months CTR,Last 3 months Position,Previous 3 months Position
ims pro barista nano filter basket,2,0,22,0,9.09%,0%,6.41,0
f64 evo xgi,2,0,21,0,9.52%,0%,7.1,0
faema e61 legend 1 group,2,0,20,0,10%,0%,6.75,0
coffee water softener,2,2,19,3,10.53%,66.67%,4.95,3.33
vst filter espresso,2,0,19,0,10.53%,0%,7.47,0
rancilio bottomless,2,0,19,0,10.53%,0%,12.21,0
la spaziale dream t review,2,0,18,0,11.11%,0%,4,0
3/8 bsp to 3/8 compression,2,0,18,0,11.11%,0%,6.78,0
quickmill andrea,2,0,18,0,11.11%,0%,8.17,0
10 micron carbon block filter,2,0,18,0,11.11%,0%,10.61,0
cimbali junior espresso machine,2,0,17,0,11.76%,0%,1.88,0
53mm filter basket shop,2,0,15,0,13.33%,0%,6.87,0
ceme pressurestat,2,0,15,0,13.33%,0%,11.47,0
vst basket 20g,2,3,14,29,14.29%,10.34%,4.79,6.41
e61 temperature sensor,2,2,14,5,14.29%,40%,9.5,7
ek-43s,2,0,14,0,14.29%,0%,11.29,0
motta 8250,2,0,13,0,15.38%,0%,11.38,0
cimbali price,2,0,13,0,15.38%,0%,13.69,0
izzo alex duetto 2,2,0,13,0,15.38%,0%,14.77,0
quickmill carola test,2,0,13,0,15.38%,0%,22.31,0
ristretto brew ratio,2,0,12,0,16.67%,0%,9.83,0
rocket appartamento sale,2,0,11,0,18.18%,0%,11.82,0
espresso vesuvius,2,2,10,7,20%,28.57%,3.5,2.43
slayer espresso single,2,0,9,0,22.22%,0%,10.44,0
ecm 4 hole steam tip,2,0,9,0,22.22%,0%,21.67,0
ceado e37s sale,2,0,8,0,25%,0%,6.38,0
espresso machine thermometer,2,0,8,0,25%,0%,8.88,0
compak e6 review,2,0,8,0,25%,0%,15.38,0
rocket mozzafiato type v timer,2,0,7,0,28.57%,0%,7.29,0
rocket r nine one erfahrungen,2,2,7,14,28.57%,14.29%,19,18.71
espro toroid 2 pitcher 12 oz,2,0,5,0,40%,0%,14.2,0
vesuvio espresso,2,0,4,0,50%,0%,4.25,0
chris coffee service albany ny,2,3,3,6,66.67%,50%,3.67,2.33
quick mill bottomless portafilter,2,0,2,0,100%,0%,2.5,0
portafilter,1,0,6995,0,0.01%,0%,15.73,0
espresso machines,1,1,5085,4630,0.02%,0.02%,68.75,63.96
pressure regulating valve,1,0,2875,0,0.03%,0%,12.38,0
coffee grinders,1,0,2869,0,0.03%,0%,56.8,0
rancilio silvia,1,6,2816,2965,0.04%,0.2%,39.59,26.88
coffee service,1,0,2748,0,0.04%,0%,44.25,0
k cups,1,0,2477,0,0.04%,0%,48.71,0
baratza encore,1,2,1853,2071,0.05%,0.1%,66.84,40.13
ceado,1,10,1828,1594,0.05%,0.63%,10.96,14.23
pressure regulator valve,1,0,1713,0,0.06%,0%,4.75,0
lavazza coffee,1,0,1661,0,0.06%,0%,36.85,0
rancilio rocky,1,1,1422,834,0.07%,0.12%,25.78,32.82
steaming pitcher,1,0,1388,0,0.07%,0%,6.47,0
mahlkonig,1,6,1374,2539,0.07%,0.24%,26.14,13.3
coffee espresso machine,1,0,1322,0,0.08%,0%,63.91,0
r58,1,0,1280,0,0.08%,0%,7.56,0
regulating valve,1,0,1216,0,0.08%,0%,12.6,0
kcups,1,0,1189,0,0.08%,0%,47.16,0
knock box,1,1,1042,945,0.1%,0.11%,55.6,46.54
black pearl,1,0,923,0,0.11%,0%,57.59,0
laspaziale,1,3,889,159,0.11%,1.89%,5.64,13.08
grinder parts,1,0,860,0,0.12%,0%,16.39,0
green bean coffee,1,0,780,0,0.13%,0%,36.48,0
coffee suppliers,1,8,769,1173,0.13%,0.68%,22.43,14.31
nuova simonelli,1,1,764,1304,0.13%,0.08%,46.03,34.71
best commercial espresso machine,1,0,759,0,0.13%,0%,47.21,0
espresso machine repair,1,4,717,697,0.14%,0.57%,44.88,24.01
bristot,1,1,712,648,0.14%,0.15%,33.58,32.94
rancilio silvia espresso machine,1,0,701,0,0.14%,0%,43.29,0
espro tamper,1,3,673,832,0.15%,0.36%,15.87,13.13
espresso tampers,1,2,641,429,0.16%,0.47%,30.8,20.49
victoria arduino black eagle,1,1,616,291,0.16%,0.34%,16.72,18.52
mahlkonig grinder,1,1,577,1784,0.17%,0.06%,31.82,10.66
pressure reduction valve,1,0,564,0,0.18%,0%,7.86,0
rancilio rocky doserless,1,0,562,0,0.18%,0%,14.75,0
izzo espresso,1,3,546,641,0.18%,0.47%,35.34,29.55
tarrazu coffee,1,4,538,683,0.19%,0.59%,24.66,12.76
eureka atom,1,0,534,0,0.19%,0%,26.61,0
portafilters,1,3,524,389,0.19%,0.77%,10.77,9.6
nuova simonelli oscar 2,1,0,519,0,0.19%,0%,39.58,0
silvano,1,1,483,235,0.21%,0.43%,19.12,26.06
bristot coffee,1,0,472,0,0.21%,0%,46,0
best espresso grinder,1,0,445,0,0.22%,0%,49.94,0
lavazza top class,1,3,434,371,0.23%,0.81%,38.7,42.84
rocket espresso giotto,1,1,422,571,0.24%,0.18%,19.37,16.18
evo coffee,1,0,404,0,0.25%,0%,12.52,0
coffee machine service,1,2,403,199,0.25%,1.01%,27.76,21.42
coffee knock box,1,1,394,544,0.25%,0.18%,47.85,32.49
mazzer mini espresso grinder,1,1,381,162,0.26%,0.62%,10.85,11.59
linea mini la marzocco,1,1,368,214,0.27%,0.47%,9.31,9.75
coffee service near me,1,0,368,0,0.27%,0%,65.55,0
rocket fausto grinder,1,3,344,300,0.29%,1%,9.17,8.33
commercial espresso,1,0,334,0,0.3%,0%,37.54,0
victoria arduino white eagle,1,0,324,0,0.31%,0%,18.76,0
rocket apartamento,1,0,323,0,0.31%,0%,8.63,0
2 group espresso machine,1,7,320,495,0.31%,1.41%,16.3,8.5
cimbali espresso,1,0,317,0,0.32%,0%,9.54,0
mazzer robur,1,0,316,0,0.32%,0%,32.62,0
sette 270,1,2,313,492,0.32%,0.41%,23.53,17
super jolly,1,0,302,0,0.33%,0%,16.65,0
mythos coffee grinder,1,0,299,0,0.33%,0%,25.54,0
cimbali m21,1,2,293,211,0.34%,0.95%,15.64,19.67
rocket evoluzione r,1,1,289,324,0.35%,0.31%,14.85,10.9
mahlkonig ek43 coffee grinder,1,1,287,178,0.35%,0.56%,17.16,19.35
58mm tamper,1,3,287,388,0.35%,0.77%,23.01,32.66
blendtec stealth 885,1,0,275,0,0.36%,0%,43.68,0
casadio espresso,1,5,273,211,0.37%,2.37%,6.73,7.45
ceado e37s grinder,1,2,260,235,0.38%,0.85%,5.37,4.68
mazzer major,1,0,258,0,0.39%,0%,36.21,0
rocket espresso appartamento espresso machine,1,5,246,203,0.41%,2.46%,9.09,7.99
unic espresso machine,1,0,243,0,0.41%,0%,10.26,0
appartamento rocket,1,1,237,208,0.42%,0.48%,12.04,10.03
stealth 885,1,0,224,0,0.45%,0%,13.83,0
rancilio silvia pid,1,0,222,0,0.45%,0%,45.4,0
rocket espresso review,1,1,221,258,0.45%,0.39%,23.01,17.81
compak grinders,1,3,220,489,0.45%,0.61%,20.43,19.54
blendtec ez 600,1,1,219,258,0.46%,0.39%,8.07,7.76
eureka grinder,1,0,219,0,0.46%,0%,22.97,0
how to descale espresso machine,1,0,211,0,0.47%,0%,22.71,0
rocket espresso milano,1,0,204,0,0.49%,0%,40.66,0
cafelat tamping stand,1,2,203,215,0.49%,0.93%,10.2,9.72
espresso machine repairs,1,0,199,0,0.5%,0%,32.88,0
rancilio silvia m,1,2,191,386,0.52%,0.52%,14.66,11.66
unic coffee machine,1,0,190,0,0.53%,0%,10.7,0
rocket apartmento,1,1,188,187,0.53%,0.53%,9.01,8.55
mythos one,1,0,186,0,0.54%,0%,12.81,0
baratza sette 270 review,1,0,183,0,0.55%,0%,30.97,0
eureka atom grinder,1,0,182,0,0.55%,0%,12.85,0
baratza encore coffee grinder,1,1,182,365,0.55%,0.27%,71.81,37.08
rinser,1,0,181,0,0.55%,0%,16.56,0
unic twin mira,1,0,177,0,0.56%,0%,9.8,0
quick espresso,1,0,177,0,0.56%,0%,18.93,0
commercial k cup machine,1,0,177,0,0.56%,0%,31.24,0
electrical parts,1,0,175,0,0.57%,0%,75.62,0
costa rican tarrazu,1,1,174,299,0.57%,0.33%,15.53,11.26
cafelat microfiber cloths,1,0,172,0,0.58%,0%,18.89,0
mahlkonig espresso grinder,1,0,171,0,0.58%,0%,16.19,0
commercial espresso machine repair,1,0,167,0,0.6%,0%,10.4,0
coffee machine new york,1,0,164,0,0.61%,0%,5.99,0
specialita grinder,1,0,164,0,0.61%,0%,9.52,0
alex duetto 3,1,2,164,189,0.61%,1.06%,9.66,6.63
lavazza wholesale,1,0,164,0,0.61%,0%,27.71,0
bunn lpg,1,4,162,180,0.62%,2.22%,9.6,7.22
fiorenzato coffee grinder,1,0,159,0,0.63%,0%,23.89,0
bunn grinder,1,1,158,343,0.63%,0.29%,31.35,8.13
rancilio silvia portafilter,1,0,154,0,0.65%,0%,9.73,0
e37s grinder,1,3,150,123,0.67%,2.44%,6.35,5.35
tamping stand,1,1,150,234,0.67%,0.43%,12.71,8.56
male junction,1,0,148,0,0.68%,0%,6.92,0
k3 grinder,1,0,146,0,0.68%,0%,11.54,0
bulk coffee grinder,1,1,143,201,0.7%,0.5%,19.29,17.66
rocket portafilter,1,0,142,0,0.7%,0%,16.68,0
izzo duetto,1,6,141,119,0.71%,5.04%,6.09,5.84
rocket espresso mozzafiato evoluzione r,1,4,139,222,0.72%,1.8%,18.94,14.02
compak k3 touch advanced,1,3,133,113,0.75%,2.65%,12.52,8.59
nuova simonelli mythos grinder,1,0,125,0,0.8%,0%,7.26,0
quick mill coffee machine,1,0,124,0,0.81%,0%,11.77,0
double boiler coffee machine,1,0,123,0,0.81%,0%,14.23,0
rocket type v,1,2,121,119,0.83%,1.68%,21.48,20.97
espresso machine water filter,1,0,119,0,0.84%,0%,22.29,0
commercial coffee grinder parts,1,0,118,0,0.85%,0%,7.47,0
la spaziale dream s1,1,0,116,0,0.86%,0%,8.93,0
compak espresso grinder,1,0,116,0,0.86%,0%,9.61,0
mahlkönig peak,1,0,116,0,0.86%,0%,28.26,0
ek43 price,1,2,115,85,0.87%,2.35%,6.7,6.56
cimbali parts,1,0,115,0,0.87%,0%,46.77,0
mazzer grinder parts,1,0,114,0,0.88%,0%,10.92,0
quick mill achille pid,1,0,113,0,0.88%,0%,13.07,0
best prosumer espresso machine,1,0,113,0,0.88%,0%,36,0
ceado 37sd,1,0,110,0,0.91%,0%,6.53,0
la spaziale vivaldi ii s1,1,0,110,0,0.91%,0%,17.43,0
espresso shower screen,1,2,109,81,0.92%,2.47%,6.06,6.36
coffeeparts,1,0,109,0,0.92%,0%,24.32,0
la spaziale espresso,1,0,108,0,0.93%,0%,12.08,0
r58 rocket,1,0,108,0,0.93%,0%,13.78,0
casadio undici a1,1,6,107,75,0.93%,8%,4.04,6.37
unic espresso machine price,1,0,107,0,0.93%,0%,7.19,0
mythos clima pro,1,3,106,127,0.94%,2.36%,9.37,6.56
ims baskets,1,0,104,0,0.96%,0%,10.37,0
quick mill espresso machine review,1,8,102,128,0.98%,6.25%,7.1,6.91
coffee equipment company,1,0,102,0,0.98%,0%,22.15,0
cimbali junior dt1,1,2,101,83,0.99%,2.41%,7.4,12.67
flood buzz pro,1,0,101,0,0.99%,0%,10.34,0
espresso machine boiler,1,0,101,0,0.99%,0%,29.27,0
la spaziale mini vivaldi ii espresso machine,1,7,100,73,1%,9.59%,4.04,5.49
vivaldi 2,1,2,100,101,1%,1.98%,8.74,6.91
linea mini white,1,0,99,0,1.01%,0%,9.96,0
r nine one,1,3,98,184,1.02%,1.63%,10.02,8.04
izzo alex duetto ii,1,0,98,0,1.02%,0%,10.23,0
steam pitcher rinser,1,0,97,0,1.03%,0%,6.65,0
chicago electric digital timer,1,0,97,0,1.03%,0%,9.21,0
italian coffee grinders,1,0,97,0,1.03%,0%,9.52,0
la cimbali m21 junior dt1,1,0,97,0,1.03%,0%,17.64,0
quickmill evolution 70,1,6,97,174,1.03%,3.45%,24.19,27.41
ims single basket,1,0,96,0,1.04%,0%,8.75,0
quick mill vetrano 2b evo 0995,1,0,96,0,1.04%,0%,14.32,0
la cimbali junior espresso machine,1,8,95,110,1.05%,7.27%,8.65,5.81
slayer espresso 1 group,1,0,95,0,1.05%,0%,8.79,0
izzo alex leva,0,28,0,277,0%,10.11%,0,13.68
faema e61,0,21,0,2515,0%,0.83%,0,15.35
chris's coffee albany new york,0,21,0,30,0%,70%,0,2.87
compak e10,0,13,0,228,0%,5.7%,0,9.08
chris coffee reviews,0,11,0,33,0%,33.33%,0,1.82
vesuvius espresso machine review,0,9,0,62,0%,14.52%,0,4.05
la cimbali jr,0,9,0,60,0%,15%,0,2.97
58.35mm tamper,0,9,0,57,0%,15.79%,0,4.77
lmlm espresso machine,0,9,0,24,0%,37.5%,0,1.5
rocket espresso,0,8,0,1899,0%,0.42%,0,32.83
faema e61 legend,0,8,0,365,0%,2.19%,0,10.78
alex leva,0,8,0,121,0%,6.61%,0,9.11
compak e8 grinder,0,7,0,66,0%,10.61%,0,6.94
alex duetto iv plus review,0,7,0,27,0%,25.93%,0,3.07
rancilio,0,6,0,11214,0%,0.05%,0,13.66
espresso parts,0,6,0,1274,0%,0.47%,0,25.48
la marzocco gb5,0,6,0,1172,0%,0.51%,0,19.87
keurig k150,0,6,0,542,0%,1.11%,0,16.54
rocket mozzafiato evoluzione r,0,6,0,438,0%,1.37%,0,13.99
lavazza gran espresso,0,6,0,321,0%,1.87%,0,10.54
faema e61 price,0,6,0,113,0%,5.31%,0,5.81
rancilio silvia black espresso machine w/ pid,0,6,0,112,0%,5.36%,0,6.62
espresso machine 2 group,0,6,0,103,0%,5.83%,0,8.26
rocket nine one,0,6,0,96,0%,6.25%,0,8.61
rocket r nine one price,0,6,0,91,0%,6.59%,0,6.3
espresso machine new york,0,6,0,58,0%,10.34%,0,4
izzo lever espresso machine,0,6,0,34,0%,17.65%,0,4.88
monza evo deluxe,0,6,0,33,0%,18.18%,0,2.09
quick mill evolution 70 review,0,6,0,19,0%,31.58%,0,2.74
vetrano coffee,0,6,0,14,0%,42.86%,0,1.29
la cimbali espresso machine,0,5,0,358,0%,1.4%,0,12.26
53mm tamper,0,5,0,285,0%,1.75%,0,16.49
rocket r58 amazon,0,5,0,123,0%,4.07%,0,7.72
faema legend,0,5,0,116,0%,4.31%,0,7.86
ambient espresso vesuvius,0,5,0,95,0%,5.26%,0,12.45
best dual boiler espresso machine for home,0,5,0,82,0%,6.1%,0,10.48
nuova simonelli appia 1,0,5,0,78,0%,6.41%,0,7.73
simonelli appia 2 price,0,5,0,74,0%,6.76%,0,11.82
quick mill silvano review,0,5,0,73,0%,6.85%,0,7.45
mahlkoenig peak,0,5,0,72,0%,6.94%,0,6.19
casadio enea on demand grinder,0,5,0,57,0%,8.77%,0,4.3
vst basket amazon,0,5,0,50,0%,10%,0,6.5
casadio enea grinder manual,0,5,0,43,0%,11.63%,0,6.35
izzo leva,0,5,0,37,0%,13.51%,0,10.86
faema e61 legend 2 group,0,5,0,27,0%,18.52%,0,4.48
compak grinder,0,4,0,857,0%,0.47%,0,6.98
fetco coffee brewer,0,4,0,469,0%,0.85%,0,10.29
cimbali espresso machine,0,4,0,426,0%,0.94%,0,12.63
mahlkönig ek43,0,4,0,229,0%,1.75%,0,21.41
alex duetto ii,0,4,0,185,0%,2.16%,0,7.04
ims shower screen,0,4,0,146,0%,2.74%,0,12.76
unic tango,0,4,0,125,0%,3.2%,0,7.02
cheapest dual boiler espresso machine,0,4,0,116,0%,3.45%,0,4.63
izzo alex duetto iii,0,4,0,111,0%,3.6%,0,7.42
alex espresso machine,0,4,0,105,0%,3.81%,0,5.3
mahlkonig guatemala grinder,0,4,0,101,0%,3.96%,0,4.49
casadio undici precio,0,4,0,100,0%,4%,0,5.93
alex espresso,0,4,0,84,0%,4.76%,0,4.56
joefrex scale,0,4,0,79,0%,5.06%,0,5.33
coffee pitcher rinser,0,4,0,78,0%,5.13%,0,10.28
compak k3 review,0,4,0,67,0%,5.97%,0,8.1
rocket giotto review,0,4,0,65,0%,6.15%,0,10.58
steam wand tip replacement,0,4,0,61,0%,6.56%,0,6.23
baratza hopper,0,4,0,60,0%,6.67%,0,8.78
mahlkonig e65s review,0,4,0,56,0%,7.14%,0,13.04
fiorenzato f64 e,0,4,0,43,0%,9.3%,0,10
vetrano quick mill,0,4,0,41,0%,9.76%,0,3.1
vst basket espresso,0,4,0,41,0%,9.76%,0,4.46
vst 18g,0,4,0,38,0%,10.53%,0,8
precision basket,0,4,0,35,0%,11.43%,0,5.46
mahlkonig ek43 vs ek43s,0,4,0,34,0%,11.76%,0,6.09
monza deluxe 5008,0,4,0,31,0%,12.9%,0,4.84
commercial coffee machine service,0,4,0,29,0%,13.79%,0,8.03
best single dose grinder,0,4,0,24,0%,16.67%,0,19.08
rocket steam tips,0,4,0,23,0%,17.39%,0,11.78
vivaldi ii espresso,0,4,0,17,0%,23.53%,0,5.06
motta europa pitcher,0,4,0,16,0%,25%,0,6.12
marzocco linea mini,0,3,0,899,0%,0.33%,0,20.78
bottomless portafilter,0,3,0,493,0%,0.61%,0,27.41
rocket r58 v2,0,3,0,265,0%,1.13%,0,12.27
izzo coffee machine,0,3,0,212,0%,1.42%,0,6.57
mahlkonig grinder ek43,0,3,0,212,0%,1.42%,0,7.55
linea mini used,0,3,0,205,0%,1.46%,0,9.51
270wi,0,3,0,159,0%,1.89%,0,8.65
portafilter parts,0,3,0,129,0%,2.33%,0,8.25
tamper 53mm,0,3,0,129,0%,2.33%,0,9.96
izzo coffee,0,3,0,127,0%,2.36%,0,7.4
quick mill achille 0996,0,3,0,114,0%,2.63%,0,17.24
rocket fausto review,0,3,0,103,0%,2.91%,0,10.83
mahlkonig k30 vario,0,3,0,100,0%,3%,0,19.93
rapid rinser blendtec,0,3,0,99,0%,3.03%,0,8.52
rocket r91,0,3,0,98,0%,3.06%,0,11.29
alex izzo,0,3,0,91,0%,3.3%,0,4.98
compak f8,0,3,0,90,0%,3.33%,0,8.87
rancilio silvia boiler replacement,0,3,0,89,0%,3.37%,0,7.2
office coffee machine service,0,3,0,87,0%,3.45%,0,43.43
la marzocco linea mini review,0,3,0,86,0%,3.49%,0,17.6
stainless steel knock box,0,3,0,83,0%,3.61%,0,9.43
nuova simonelli mythos one,0,3,0,80,0%,3.75%,0,11.64
baratza virtuoso+,0,3,0,79,0%,3.8%,0,23.76
used slayer espresso machine,0,3,0,76,0%,3.95%,0,10.91
casadio undici 2 group,0,3,0,72,0%,4.17%,0,4.78
water softener for espresso machine,0,3,0,71,0%,4.23%,0,9.9
espresso machine store,0,3,0,71,0%,4.23%,0,27.56
lavazza gran espresso review,0,3,0,67,0%,4.48%,0,11.49
duetto espresso machine,0,3,0,65,0%,4.62%,0,4.2
vst 20g basket,0,3,0,65,0%,4.62%,0,9.62
quick mill vetrano 2b de,0,3,0,65,0%,4.62%,0,14.57
la cimbali junior casa dt1,0,3,0,57,0%,5.26%,0,3.35
r nine one rocket,0,3,0,57,0%,5.26%,0,7.51
la cimbali m21 junior espresso machine,0,3,0,56,0%,5.36%,0,11.3
espro calibrated flat tamper,0,3,0,54,0%,5.56%,0,6.04
la spaziale mini vivaldi ii review,0,3,0,54,0%,5.56%,0,8.87
mahlkonig ek43s price,0,3,0,53,0%,5.66%,0,4.91
coffee grinder catch tray,0,3,0,52,0%,5.77%,0,8.4
rocket giotto v1,0,3,0,51,0%,5.88%,0,6.8
izzo espresso machine reviews,0,3,0,50,0%,6%,0,6.54
kris coffee,0,3,0,48,0%,6.25%,0,10.25
ceado e37j vs e37s,0,3,0,46,0%,6.52%,0,10.13
rocket giotto type r,0,3,0,45,0%,6.67%,0,8.29
la marzocco linea mini sale,0,3,0,44,0%,6.82%,0,8.93
rocket espresso appartamento review,0,3,0,40,0%,7.5%,0,16.6
baratza shut off hopper,0,3,0,34,0%,8.82%,0,5.47
fiorenzato f4 e nano v2,0,3,0,34,0%,8.82%,0,5.65
nuova simonelli appia ii 1 group,0,3,0,34,0%,8.82%,0,8.29
acs espresso,0,3,0,33,0%,9.09%,0,8.48
la cimbali m21 junior review,0,3,0,29,0%,10.34%,0,9.62
curtis alpha,0,3,0,28,0%,10.71%,0,7.71
la cimbali home espresso machine,0,3,0,26,0%,11.54%,0,9.23
la cimbali m39 price,0,3,0,24,0%,12.5%,0,8.67
rocket espresso r9 one,0,3,0,24,0%,12.5%,0,10.58
eric thermometer,0,3,0,20,0%,15%,0,2.75
ceado quick set gear upgrade kit,0,3,0,18,0%,16.67%,0,11.17
la marzocco linea mini plumbing kit,0,3,0,17,0%,17.65%,0,5.35
cimbali m39 price,0,3,0,15,0%,20%,0,10.53
baratza 270wi review,0,3,0,14,0%,21.43%,0,12.43
steamtip,0,3,0,13,0%,23.08%,0,6.77
m39 dosatron,0,3,0,12,0%,25%,0,2.42
quick mill andreja 0980,0,3,0,11,0%,27.27%,0,3.64
quickmill andreja premium evo,0,3,0,9,0%,33.33%,0,4.44
tubbi,0,2,0,1306,0%,0.15%,0,10.04
baratza vario,0,2,0,1034,0%,0.19%,0,14.19
vario grinder,0,2,0,877,0%,0.23%,0,14.11
automatic espresso machine,0,2,0,875,0%,0.23%,0,70.97
fetco,0,2,0,479,0%,0.42%,0,18.32
gs3 la marzocco,0,2,0,460,0%,0.43%,0,10.14
rocket espresso machines,0,2,0,382,0%,0.52%,0,22.05
mazzer mini e,0,2,0,319,0%,0.63%,0,19.43
porcelain espresso cups,0,2,0,274,0%,0.73%,0,4.46
astoria gloria,0,2,0,260,0%,0.77%,0,14.02
simonelli appia 2,0,2,0,249,0%,0.8%,0,12.97
rocky doserless,0,2,0,248,0%,0.81%,0,11.51
la cimbali m39,0,2,0,236,0%,0.85%,0,29.95
la cimbali espresso,0,2,0,214,0%,0.93%,0,10.46
baratza virtuoso plus,0,2,0,204,0%,0.98%,0,21.67
baratza vario grinder,0,2,0,193,0%,1.04%,0,10.21
acaia lunar,0,2,0,193,0%,1.04%,0,70.06
rocket r58 espresso machine,0,2,0,192,0%,1.04%,0,10.19
la spaziale s1 vivaldi 2,0,2,0,178,0%,1.12%,0,15.94
mazzer mini electronic a,0,2,0,178,0%,1.12%,0,28.03
lavazza gran filtro,0,2,0,177,0%,1.13%,0,14.03
rapid rinse,0,2,0,158,0%,1.27%,0,7.11
portafilter basket,0,2,0,156,0%,1.28%,0,18.56
rocket r9 one,0,2,0,154,0%,1.3%,0,12.74
baratza encore espresso,0,2,0,151,0%,1.32%,0,13.48
curtis g3,0,2,0,150,0%,1.33%,0,8.09
alex duetto 2,0,2,0,150,0%,1.33%,0,8.36
mahlkönig ek43 s,0,2,0,141,0%,1.42%,0,12.28
tamper 58mm,0,2,0,141,0%,1.42%,0,26.7
simonelli appia 1,0,2,0,130,0%,1.54%,0,6.76
bunn lpg grinder,0,2,0,130,0%,1.54%,0,8.32
fiorenzato grinder f64e,0,2,0,125,0%,1.6%,0,6.04
baratza sette 270 wi,0,2,0,113,0%,1.77%,0,12.09
nuova simonelli appia 1 group,0,2,0,111,0%,1.8%,0,12.46
espresso machine sales,0,2,0,108,0%,1.85%,0,30.22
lamarzocco linea mini,0,2,0,106,0%,1.89%,0,9.01
portafilter spout,0,2,0,106,0%,1.89%,0,9.01
heat exchanger espresso,0,2,0,100,0%,2%,0,8.67
cafetera casadio undici,0,2,0,98,0%,2.04%,0,8.35
best dual boiler espresso machine 2019,0,2,0,95,0%,2.11%,0,12.75
mythos one grinder,0,2,0,91,0%,2.2%,0,14.38
simonelli coffee grinder,0,2,0,88,0%,2.27%,0,9.62
espresso dual boiler,0,2,0,81,0%,2.47%,0,5.6
la marzocco gs3 review,0,2,0,81,0%,2.47%,0,11.12
enea on demand,0,2,0,80,0%,2.5%,0,6.78
vst coffee,0,2,0,80,0%,2.5%,0,12.99
two group espresso machine,0,2,0,79,0%,2.53%,0,12.3
rocket espresso evoluzione r,0,2,0,79,0%,2.53%,0,22.39
sette 270wi review,0,2,0,75,0%,2.67%,0,9.71
cimbali m39,0,2,0,72,0%,2.78%,0,4.6
compak k3 touch review,0,2,0,70,0%,2.86%,0,7.91
quick mill andreja profiles 1,0,2,0,69,0%,2.9%,0,11.33
casadio espresso machine price,0,2,0,68,0%,2.94%,0,6.37
la cimbali junior d1,0,2,0,67,0%,2.99%,0,4.79
ceado e5,0,2,0,67,0%,2.99%,0,9.99
e61 legend,0,2,0,66,0%,3.03%,0,7.29
espresso machine repair nyc,0,2,0,65,0%,3.08%,0,13.02
dr smoothie cafe essentials,0,2,0,64,0%,3.12%,0,6.12
rocket espresso r 58,0,2,0,64,0%,3.12%,0,41.69
k30 twin grinder,0,2,0,63,0%,3.17%,0,5.11
rinse brewer with tablet,0,2,0,62,0%,3.23%,0,7.98
f64 fiorenzato,0,2,0,61,0%,3.28%,0,6.77
nuova simonelli mythos clima pro,0,2,0,61,0%,3.28%,0,7.18
hot clips,0,2,0,61,0%,3.28%,0,42.57
casadio grinder adjustment,0,2,0,60,0%,3.33%,0,7.87
vst single basket,0,2,0,59,0%,3.39%,0,7.9
ceado single dose grinder,0,2,0,59,0%,3.39%,0,9.24
undici coffee machine,0,2,0,58,0%,3.45%,0,4.48
53mm espresso tamper,0,2,0,58,0%,3.45%,0,5.74
krome pitcher rinser,0,2,0,58,0%,3.45%,0,7.17
plumbed keurig machine,0,2,0,58,0%,3.45%,0,10
volumetric espresso machine,0,2,0,58,0%,3.45%,0,10.41
wilbur curtis g3 airpot brewer,0,2,0,56,0%,3.57%,0,7.86
rdt sprayer,0,2,0,55,0%,3.64%,0,5.58
k3 touch,0,2,0,55,0%,3.64%,0,7.82
compak grinder k3,0,2,0,54,0%,3.7%,0,6.87
la spaziale s40,0,2,0,54,0%,3.7%,0,23.7
2 group commercial espresso machine,0,2,0,51,0%,3.92%,0,6.86
baratza encore for espresso,0,2,0,51,0%,3.92%,0,15.51
la marzocco 3 group,0,2,0,50,0%,4%,0,18.24
mythos plus grinder,0,2,0,48,0%,4.17%,0,9.81
slayer espresso machine review,0,2,0,47,0%,4.26%,0,7.02
rocket apartemento,0,2,0,47,0%,4.26%,0,8.64
mahlkonig grinder peak,0,2,0,46,0%,4.35%,0,5.43
compak e10 grinder,0,2,0,45,0%,4.44%,0,6.71
quick mill coffee machine review,0,2,0,45,0%,4.44%,0,10.93
lavazza decaf espresso beans,0,2,0,45,0%,4.44%,0,18.8
ek43s dimensions,0,2,0,44,0%,4.55%,0,5.39
blender rinse station,0,2,0,43,0%,4.65%,0,6.35
fiorenzato grinders,0,2,0,43,0%,4.65%,0,10.09
steaming thermometer,0,2,0,43,0%,4.65%,0,10.42
naranjo coffee,0,2,0,42,0%,4.76%,0,10.55
espresso flojet pump,0,2,0,41,0%,4.88%,0,6.85
ceado 37j,0,2,0,41,0%,4.88%,0,7.05
linea mini review,0,2,0,41,0%,4.88%,0,17.27
casadio undici a2 manual,0,2,0,40,0%,5%,0,4.17
mahlkonig guatemala lab,0,2,0,40,0%,5%,0,10.78
rocket mozzafiato v,0,2,0,40,0%,5%,0,11.68
shower screen coffee,0,2,0,39,0%,5.13%,0,5.36
espresso brush group head,0,2,0,39,0%,5.13%,0,5.79
1 group commercial espresso machine,0,2,0,39,0%,5.13%,0,12.44
coffee machine shop,0,2,0,39,0%,5.13%,0,27.26
simonelli appia ii 1 group,0,2,0,37,0%,5.41%,0,6.95
la marzocco linea mini for sale,0,2,0,37,0%,5.41%,0,24.81
heat exchange espresso machine,0,2,0,36,0%,5.56%,0,7.75
